Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
Residencia para mayores y centro de día Peñuelas,Instalaciones accesibles NO municipales,Calle Arganda 11,250.64,170 - Paseo de la Esperanza,Paseo de la Esperanza nº 21
Residencia para personas con discapacidad intelectual gravemente afectadas y centro de día Dos de Mayo,Instalaciones accesibles NO municipales,Calle Oña 1,2072.0,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Residencia y centro de día Carmen Sevilla,Instalaciones accesibles NO municipales,Calle Gabriel Montero 1,1247.49,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,5648.72,224 - Caramuel,Calle Caramuel nº 51
"Residencia, centro de día y centro ocupacional Götze",Instalaciones accesibles NO municipales,Carretera Castilla 5,3731.6,261 - Facultad Derecho,Avenida Complutense nº 23
"Residencia, centro de día y centro ocupacional Ángel de la Guarda",Instalaciones accesibles NO municipales,Avenida Daroca 60,376.45,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,36.25,28 - Sevilla,Calle Alcalá nº 27
Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,222.52,118 - Juan Martín,Calle Juan Martín el Empecinado nº 16
Sala de Arte Joven,Instalaciones accesibles NO municipales,Avenida America 13,130.12,195 - Avenida de América 1,Calle Padre Indalecio Hernández nº 1
Sala de exposiciones Fundación Canal (Castellana 214),Instalaciones accesibles NO municipales,Paseo Castellana 214,127.62,209 - Plaza de Castilla 2,Paseo Castellana (Fundación Canal)
"Sala de exposiciones Fundación Canal (Mateo Inurria, 2)",Instalaciones accesibles NO municipales,Calle Mateo Inurria 2,114.47,208 - Plaza de Castilla,Paseo de la Castellana nº 216
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,172.16,94 - Biblioteca Nacional,Paseo de Recoletos nº 20
Sede QuedaT.com Arganzuela,Instalaciones accesibles NO municipales,Calle Juana Doña 7,211.49,164 - Paseo de las Delicias,Paseo de las Delicias nº 92
Sede QuedaT.com Barajas,Instalaciones accesibles NO municipales,Calle Autogiro 1,7920.14,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Sede QuedaT.com Carabanchel,Instalaciones accesibles NO municipales,Calle Ramon Sainz 27,2633.55,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48
Sede QuedaT.com Centro,Instalaciones accesibles NO municipales,Calle Juanelo 2,209.91,44 - Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35
Sede QuedaT.com Chamartín,Instalaciones accesibles NO municipales,Pasaje Doña Carlota 13,579.58,251 - Corazón de María,Calle Santa Hortensia nº 31
Sede QuedaT.com Fuencarral-El Pardo (Centro Comunitario Guatemala),Instalaciones accesibles NO municipales,Calle Celanova 2,1819.54,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
Sede QuedaT.com Hortaleza,Instalaciones accesibles NO municipales,Calle Mar Amarillo 4,3471.39,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Sede QuedaT.com Latina,Instalaciones accesibles NO municipales,Calle La Latina 25,2688.19,224 - Caramuel,Calle Caramuel nº 51
Sede QuedaT.com Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 15,404.48,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Sede QuedaT.com Puente de Vallecas,Instalaciones accesibles NO municipales,Calle Cardeñosa 18,1222.54,180 - Méndez Álvaro,Calle Retama nº 5
Sede QuedaT.com San Blas-Canillejas,Instalaciones accesibles NO municipales,Calle San Faustino 14,4008.62,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Sede QuedaT.com Tetuán,Instalaciones accesibles NO municipales,Calle Cedros 3,461.3,208 - Plaza de Castilla,Paseo de la Castellana nº 216
Sede QuedaT.com Usera,Instalaciones accesibles NO municipales,Calle Miramadrid 1,1044.11,213 - Glorieta de Cádiz,Calle Antonio López nº 129
